stage,kill_advantage,team_advantage,enemy_hero_0,enemy_hero_1,enemy_hero_2,enemy_hero_3,enemy_hero_4,ally_hero_0,ally_hero_1,ally_hero_2,ally_hero_3,enemy_wr_0,enemy_wr_1,enemy_wr_2,enemy_wr_3,enemy_wr_4,ally_wr_0,ally_wr_1,ally_wr_2,ally_wr_3,item_37,item_40,item_96,item_98,item_100,item_102,item_104,item_119,item_127,item_139,item_152,item_156,item_160,item_176,item_204,item_206,item_208,item_210,item_249,item_250,item_254,item_267,item_598,item_610,item_911,item_1107,item_1466,item_1806,item_1808,target_item_0,target_item_1,target_item_2,target_item_3,target_item_4,target_item_5,target_item_6,target_item_7,target_item_8
0,0.0,0.1433710634499641,1,39,129,65,40,63,67,97,26,0.64,0.572,0.585,0.542,0.567,0.56,0.579,0.535,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,63,75,0,0,0,0,0
1,0.5,0.1433710634499641,1,39,129,65,40,63,67,97,26,0.64,0.572,0.585,0.542,0.567,0.56,0.579,0.535,0.551,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,0,0,0,0,0,0
2,0.9,0.1433710634499641,1,39,129,65,40,63,67,97,26,0.64,0.572,0.585,0.542,0.567,0.56,0.579,0.535,0.551,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,108,174,0,0,0,0
3,0.625,0.1433710634499641,1,39,129,65,40,63,67,97,26,0.64,0.572,0.585,0.542,0.567,0.56,0.579,0.535,0.551,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,75,108,154,174,1097,0,0
0,1.3333333333333333,-0.017744677167153,53,45,37,4,102,62,99,12,14,0.587,0.527,0.498,0.458,0.481,0.574,0.508,0.444,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,75,0
1,0.8,-0.017744677167153,53,45,37,4,102,62,99,12,14,0.587,0.527,0.498,0.458,0.481,0.574,0.508,0.444,0.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,16,42,63,75,174,0,0
2,0.3,-0.017744677167153,53,45,37,4,102,62,99,12,14,0.587,0.527,0.498,0.458,0.481,0.574,0.508,0.444,0.53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,63,75,108,174,0,0,0
3,0.4,-0.017744677167153,53,45,37,4,102,62,99,12,14,0.587,0.527,0.498,0.458,0.481,0.574,0.508,0.444,0.53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63,75,108,160,174,1097,1575,0
4,1.0,-0.017744677167153,53,45,37,4,102,62,99,12,14,0.587,0.527,0.498,0.458,0.481,0.574,0.508,0.444,0.53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63,75,108,160,1097,0,0,0
0,-0.8333333333333334,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,16,20,29,42,63,75,237
1,0.2,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,63,75,147,170,237,0,0
2,0.4,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,63,75,108,147,225,0,0
3,-0.9,0.03225773286606204,97,27,136,91,34,71,30,64,19,0.542,0.538,0.576,0.505,0.517,0.558,0.595,0.551,0.507,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,63,75,108,147,225,0,0,0
